#,PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,No. of all inlinks,Is in sitemap,Referenced in sitemaps,No. of referencing sitemaps
29,20,https://gamedravo.com/games/gamepix-ninja-in-cape,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
30,20,https://gamedravo.com/games/gamepix-fmf-music-battle,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
31,20,https://gamedravo.com/games/gamepix-portal,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
32,20,https://gamedravo.com/games/gamepix-goal-skibidi-goal,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
33,20,https://gamedravo.com/games/gamepix-mahjong-sweet-connection,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
34,20,https://gamedravo.com/games/rome-simulator,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
35,20,https://gamedravo.com/games/gamepix-baby-hazel-backyard-party,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
36,20,https://gamedravo.com/games/mkd-airplane-flight-simulator-evo,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
37,20,https://gamedravo.com/games/gamepix-zombotron-re-boot,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
38,20,https://gamedravo.com/games/gamepix-super-oliver-world,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
39,20,https://gamedravo.com/games/zombie-sniper,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
40,20,https://gamedravo.com/games/gamepix-a-mole-in-a-hole,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
41,20,https://gamedravo.com/games/gamepix-bad-cat-simulator-pet-game,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
42,20,https://gamedravo.com/games/gamepix-kobadoo-flags,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
43,20,https://gamedravo.com/games/alien-sky-invasion,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
44,20,https://gamedravo.com/games/gamepix-obby-dead-river,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
45,20,https://gamedravo.com/games/gamepix-in-space,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
46,20,https://gamedravo.com/games/gamepix-noob-playground,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
47,20,https://gamedravo.com/games/gamepix-snow-mo-cannon-shooting-game,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
48,20,https://gamedravo.com/games/gamepix-evolution-of-hamster-clicker,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
49,20,https://gamedravo.com/games/gamepix-face-breaker,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
50,20,https://gamedravo.com/games/gamepix-a-and-b-kids,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
51,20,https://gamedravo.com/games/racing-cars,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
52,20,https://gamedravo.com/games/gamepix-fishing-online,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
53,20,https://gamedravo.com/games/state-io-wars,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,0,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
